D,L,T,d_mlp_list,alpha,rho,beta,lambda,samples,max_iter,max_fine_tune_iter,learning_rate,learning_rate_fine_tune,norm_init,tol,p_test,p_fine_tune,device,logger,run_dir,run_index,seed,batch_size,R,N,MLP_dim
100,15,30,"[5, 10, 30, 50]",0.8071428571428572,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_1_2739091 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,1,42,64,100,80,50
100,15,30,"[5, 10, 30, 50]",0.1,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_0_2739090 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,0,42,64,100,10,50
100,15,30,"[5, 10, 30, 50]",1.5142857142857145,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_2_2739092 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,2,42,64,100,151,50
100,15,30,"[5, 10, 30, 50]",2.2214285714285715,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_3_2739093 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,3,42,64,100,222,50
100,15,30,"[5, 10, 30, 50]",3.635714285714286,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_5_2739095 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,5,42,64,100,363,50
100,15,30,"[5, 10, 30, 50]",4.3428571428571425,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_6_2739096 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,6,42,64,100,434,50
100,15,30,"[5, 10, 30, 50]",2.928571428571429,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_4_2739094 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,4,42,64,100,292,50
100,15,30,"[5, 10, 30, 50]",5.05,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_7_2739097 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,7,42,64,100,505,50
100,15,30,"[5, 10, 30, 50]",5.757142857142857,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_8_2739098 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,8,42,64,100,575,50
100,15,30,"[5, 10, 30, 50]",7.171428571428572,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_10_2739100 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,10,42,64,100,717,50
100,15,30,"[5, 10, 30, 50]",7.878571428571429,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_11_2739101 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,11,42,64,100,787,50
100,15,30,"[5, 10, 30, 50]",8.585714285714285,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_12_2739102 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,12,42,64,100,858,50
100,15,30,"[5, 10, 30, 50]",6.464285714285714,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_9_2739099 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,9,42,64,100,646,50
100,15,30,"[5, 10, 30, 50]",10.0,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_14_2739089 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,14,42,64,100,1000,50
100,15,30,"[5, 10, 30, 50]",9.292857142857143,1.0,1.0,0.0001,20,5000,1000,0.01,0.01,1.0,1e-05,0.15,0.15,cuda,<Logger logger_13_2739103 (DEBUG)>,/home/peucelle/tpiv-simulations/results/run_20251201_2051,13,42,64,100,929,50
